Entry ID	LNIC Code	Entity-Type	Subtype(s)	Vocabulary	Code	Vocabulary Preferred Name	Mapping_type	Mapping confidence	Version
008	LNIC-100-008	EMZL	Immunoproliferative small intestinal disease (alpha heavy chain disease)	ICDO4	96991/3	Extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue	exact	High	International Classification of Diseases for Oncology, Fourth Edition
008	LNIC-100-008	EMZL	Immunoproliferative small intestinal disease (alpha heavy chain disease)	ICDO4	97621/3	Alpha heavy chain disease	narrower	High	International Classification of Diseases for Oncology, Fourth Edition
009	LNIC-100-009	PCMZL	Heavy chain class-switched, non-class-switched	ICDO3	9699/3	Marginal zone B-cell lymphoma, NOS 	broader	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
009	LNIC-100-009	PCMZL	Heavy chain class-switched, non-class-switched	ICD9	200.3	Marginal zone lymphoma	broader	High	International Classification of Diseases, Ninth Revision (ICD-9)
009	LNIC-100-009	PCMZL	Heavy chain class-switched, non-class-switched	UMLS	C1275321	Primary cutaneous marginal zone B-cell lymphoma	exact	High	2026AA
009	LNIC-100-009	PCMZL	Heavy chain class-switched, non-class-switched	EFO	MONDO_0015813	primary cutaneous marginal zone B-cell lymphoma	exact	High	3.91.0
009	LNIC-100-009	PCMZL	Heavy chain class-switched, non-class-switched	ICD10	C83.0	Non-Hodgkin lymphoma small cell (diffuse)	broader	High	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
009	LNIC-100-009	PCMZL	Heavy chain class-switched, non-class-switched	ICDO4	96994/3	Primary cutaneous marginal zone lymphoma, NOS	exact	High	International Classification of Diseases for Oncology, Fourth Edition
009	LNIC-100-009	PCMZL	Heavy chain class-switched, non-class-switched	ICDO4	96995/3	Primary cutaneous marginal zone lymphoma, heavy chain class-switched subtype	narrower	High	International Classification of Diseases for Oncology, Fourth Edition
009	LNIC-100-009	PCMZL	Heavy chain class-switched, non-class-switched	ICDO4	96996/3	Primary cutaneous marginal zone lymphoma, IgM-positive non-class-switched subtype	narrower	High	International Classification of Diseases for Oncology, Fourth Edition
010	LNIC-100-010	NMZL		ICDO3	9699/3	Marginal zone B-cell lymphoma, NOS 	broader	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
010	LNIC-100-010	NMZL		ICD9	200.3	Marginal zone lymphoma	broader	High	International Classification of Diseases, Ninth Revision (ICD-9)
010	LNIC-100-010	NMZL		ICD10CM	C83.0A	Small cell B-cell lymphoma (nodal marginal zone lymphoma), in remission	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
010	LNIC-100-010	NMZL		ICD10CM	C83.0_	Small cell B-cell lymphoma (nodal marginal zone lymphoma)	exact	Moderate	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
010	LNIC-100-010	NMZL		UMLS	C0855139	Monocytoid B-cell lymphoma	exact	High	2026AA
010	LNIC-100-010	NMZL		EFO	MONDO_0019465	nodal marginal zone B-cell lymphoma	exact	High	3.91.0
010	LNIC-100-010	NMZL		ICD10	C83.0	Non-Hodgkin lymphoma small cell (diffuse)	broader	High	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
010	LNIC-100-010	NMZL		ICDO4	96992/3	Nodal marginal zone lymphoma	exact	High	International Classification of Diseases for Oncology, Fourth Edition
011	LNIC-100-011	pNMZL		ICDO3	9699/3	Marginal zone B-cell lymphoma, NOS 	broader	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
011	LNIC-100-011	pNMZL		ICD9	200.3	Marginal zone lymphoma	broader	High	International Classification of Diseases, Ninth Revision (ICD-9)
011	LNIC-100-011	pNMZL		ICD10CM	C83.0A	Small cell B-cell lymphoma (nodal marginal zone lymphoma), in remission	partial	Low	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
011	LNIC-100-011	pNMZL		ICD10CM	C83.0_	Small cell B-cell lymphoma (nodal marginal zone lymphoma)	broader	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
011	LNIC-100-011	pNMZL		UMLS	C2698751	Pediatric nodal marginal zone lymphoma	exact	High	2026AA
011	LNIC-100-011	pNMZL		UMLS	C5547691	Pediatric nodal marginal zone B cell lymphoma	exact	Moderate	2026AA
011	LNIC-100-011	pNMZL		EFO	MONDO_0019465	nodal marginal zone B-cell lymphoma	broader	High	3.91.0
011	LNIC-100-011	pNMZL		ICD10	C83.0	Non-Hodgkin lymphoma small cell (diffuse)	broader	Moderate	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
011	LNIC-100-011	pNMZL		ICDO4	96993/3	Paediatric nodal marginal zone lymphoma	exact	High	International Classification of Diseases for Oncology, Fourth Edition
012	LNIC-020-012	ISFN		ICDO3	9695/1	In situ follicular neoplasia [2021+]	exact	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
012	LNIC-020-012	ISFN		ICD9	238.79	Other lymphatic and hematopoietic tissues	broader	Moderate	International Classification of Diseases, Ninth Revision (ICD-9)
